1,Book drive,1,3-1-17 07:45 am,3-1-17 10:45 am,Need volunteers to facilitate with reviewing and handling of books.,2701 Fairview Road Costa Mesa California 92626,booksAndMore
2,Beach Clean up,1,12-16-16 11:22 am,12-16-16 12:30 pm,Need volunteers to help clean up our local beach.,360 De Neve Drive Los Angeles CA 90095-1383,beach
3,Food Drive,1,12-1-16 10:30 am,12-1-16 02:30 pm,Here you'll be assisting in collecting canned goods from donors.,OCC Cafeteria,OCC_campus
4,Helping the homeless,1,12-10-16 03:00 pm,12-10-16 06:00 pm,Here you'll be assisting in serving food for the homeless at the local soup kitchen.,Huntington Soup Kitchen,soup_kitchen
5,Programming Club Orientation,1,12-14-16 07:45 am,12-14-16 10:45 am,Need volunteers to facilitate with reviewing and handling of books.,OCC Library,booksAndMore
6,STEM Presentation,1,3-16-17 11:22 am,3-16-17 12:30 pm,Need volunteers to help clean up our local beach.,Huntington Beach,beach
7,Food Rider,1,12-1-16 10:30 am,12-1-16 02:30 pm,Here you'll be assisting in collecting canned goods from donors.,OCC Cafeteria,OCC_campus
8,Club Rush,1,12-10-16 03:00 pm,12-10-16 06:00 pm,Here you'll be assisting in serving food for the homeless at the local soup kitchen.,Huntington Soup Kitchen,soup_kitchen
9,Welcome OCC Event,1,12-12-16 10:30 am,12-12-16 02:30 pm,Here you'll be assisting in collecting canned goods from donors.,OCC Cafeteria,OCC_campus
10,Android Coding,1,12-2-16 03:00 pm,12-2-16 06:00 pm,Here you'll be assisting in serving food for the homeless at the local soup kitchen.,Huntington Soup Kitchen,soup_kitchen
